metro,date,upt,year,month,baseline_monthly_mean,pct_of_baseline,jan2019_upt,index_jan2019_100,upt_12m_avg
Chicago,2017-03-01,50932690,2017,3,50656980.0,1.0054426852923328,40896269,124.5411653566735,50286045.25
Chicago,2017-04-01,47565277,2017,4,49157274.6,0.9676142012966683,40896269,116.30713060890714,50025935.083333336
Chicago,2017-05-01,51252658,2017,5,51113222.0,1.0027279829864766,40896269,125.3235545765801,49972739.833333336
Chicago,2017-06-01,51290221,2017,6,50755660.2,1.0105320430843296,40896269,125.415404031111,49876766.25
Chicago,2017-07-01,48685859,2017,7,50134314.8,0.9711084951339557,40896269,119.0471898548985,49713239.25
Chicago,2017-08-01,51723681,2017,8,51053404.2,1.0131289345050176,40896269,126.4753051189095,49702583.416666664
Chicago,2017-09-01,51468135,2017,9,51562059.0,0.9981784280569556,40896269,125.85044127130523,49565256.666666664
Chicago,2017-10-01,53254715,2017,10,54155936.8,0.9833587626167701,40896269,130.219006041847,49471980.25
Chicago,2017-11-01,48490284,2017,11,48094651.8,1.0082261163184054,40896269,118.56896774617753,49300013.666666664
Chicago,2017-12-01,43585306,2017,12,44379024.8,0.982115001319272,40896269,106.57526240352146,49196770.666666664
Chicago,2018-01-01,45591260,2018,1,45894020.6,0.9934030491109336,40896269,111.48024285540572,49114609.666666664
Chicago,2018-02-01,42957190,2018,2,45198820.2,0.9504051169901996,40896269,105.03938635575778,48899773.0
Chicago,2018-03-01,48732566,2018,3,50656980.0,0.9620108818172738,40896269,119.16139831728904,48716429.333333336
Chicago,2018-04-01,47634643,2018,4,49157274.6,0.9690253047511304,40896269,116.47674510356923,48722209.833333336
Chicago,2018-05-01,50273114,2018,5,51113222.0,0.9835637831635814,40896269,122.92836297609446,48640581.166666664
Chicago,2018-06-01,48642704,2018,6,50755660.2,0.958370038106607,40896269,118.9416667813878,48419954.75
Chicago,2018-07-01,48519188,2018,7,50134314.8,0.9677840056966333,40896269,118.639644120103,48406065.5
Chicago,2018-08-01,50273430,2018,8,51053404.2,0.9847223860539353,40896269,122.9291356627178,48285211.25
Chicago,2018-09-01,49421670,2018,9,51562059.0,0.9584890704228859,40896269,120.84640288335349,48114672.5
Chicago,2018-10-01,53917472,2018,10,54155936.8,0.9955967006741909,40896269,131.83958663808673,48169902.25
Chicago,2018-11-01,46710533,2018,11,48094651.8,0.9712209414519558,40896269,114.21710132041629,48021589.666666664
Chicago,2018-12-01,42707770,2018,12,44379024.8,0.9623413356302504,40896269,104.42950186971825,47948461.666666664
Chicago,2019-01-01,40896269,2019,1,45894020.6,0.8911023367606192,40896269,100.0,47557212.416666664
